0	20	26	24	19	10	24	22	18	17	3	30	29	29	20	21	17	31	20	12	6	6	23	40	40	40	40	40	40	40	0
20	0	21	21	15	13	18	19	21	26	13	25	25	22	17	22	17	24	21	21	16	17	13	20	20	20	20	20	20	20	0
26	21	0	27	19	19	23	22	24	23	12	26	26	26	23	19	20	26	21	16	13	14	15	26	26	26	26	26	26	26	0
24	21	27	0	20	15	18	19	24	21	11	26	28	27	17	23	16	23	24	17	14	13	16	24	24	24	24	24	24	24	0
19	15	19	20	0	16	17	13	22	14	13	20	24	21	20	22	18	15	17	14	15	13	14	19	19	19	19	19	19	19	0
10	13	19	15	16	0	15	18	21	17	19	15	13	12	19	14	14	15	17	13	17	17	8	10	10	10	10	10	10	10	0
24	18	23	18	17	15	0	21	17	20	12	22	20	23	23	18	22	27	21	14	17	12	16	24	24	24	24	24	24	24	0
22	19	22	19	13	18	21	0	22	23	17	21	18	23	21	21	15	24	25	18	19	19	18	22	22	22	22	22	22	22	0
18	21	24	24	22	21	17	22	0	20	20	20	23	26	23	24	15	21	24	21	20	19	15	18	18	18	18	18	18	18	0
17	26	23	21	14	17	20	23	20	0	21	19	18	21	16	19	18	22	27	18	17	19	14	17	17	17	17	17	17	17	0
3	13	12	11	13	19	12	17	20	21	0	8	7	11	12	13	12	10	15	16	23	28	5	3	3	3	3	3	3	3	0
30	25	26	26	20	15	22	21	20	19	8	0	30	28	21	26	19	28	20	18	12	11	17	30	30	30	30	30	30	30	0
29	25	26	28	24	13	20	18	23	18	7	30	0	29	21	26	16	25	22	16	13	12	17	29	29	29	29	29	29	29	0
29	22	26	27	21	12	23	23	26	21	11	28	29	0	23	26	19	28	25	18	14	12	19	29	29	29	29	29	29	29	0
20	17	23	17	20	19	23	21	23	16	12	21	21	23	0	18	16	22	22	16	17	14	13	20	20	20	20	20	20	20	0
21	22	19	23	22	14	18	21	24	19	13	26	26	26	18	0	19	23	18	22	15	14	19	21	21	21	21	21	21	21	0
17	17	20	16	18	14	22	15	15	18	12	19	16	19	16	19	0	17	15	16	18	13	12	17	17	17	17	17	17	17	0
31	24	26	23	15	15	27	24	21	22	10	28	25	28	22	23	17	0	23	15	13	10	17	31	31	31	31	31	31	31	0
20	21	21	24	17	17	21	25	24	27	15	20	22	25	22	18	15	23	0	17	18	15	14	20	20	20	20	20	20	20	0
12	21	16	17	14	13	14	18	21	18	16	18	16	18	16	22	16	15	17	0	20	21	15	12	12	12	12	12	12	12	0
6	16	13	14	15	17	17	19	20	17	23	12	13	14	17	15	18	13	18	20	0	25	7	6	6	6	6	6	6	6	0
6	17	14	13	13	17	12	19	19	19	28	11	12	12	14	14	13	10	15	21	25	0	8	6	6	6	6	6	6	6	0
23	13	15	16	14	8	16	18	15	14	5	17	17	19	13	19	12	17	14	15	7	8	0	23	23	23	23	23	23	23	0
40	20	26	24	19	10	24	22	18	17	3	30	29	29	20	21	17	31	20	12	6	6	23	0	40	40	40	40	40	40	0
40	20	26	24	19	10	24	22	18	17	3	30	29	29	20	21	17	31	20	12	6	6	23	40	0	40	40	40	40	40	0
40	20	26	24	19	10	24	22	18	17	3	30	29	29	20	21	17	31	20	12	6	6	23	40	40	0	40	40	40	40	0
40	20	26	24	19	10	24	22	18	17	3	30	29	29	20	21	17	31	20	12	6	6	23	40	40	40	0	40	40	40	0
40	20	26	24	19	10	24	22	18	17	3	30	29	29	20	21	17	31	20	12	6	6	23	40	40	40	40	0	40	40	0
40	20	26	24	19	10	24	22	18	17	3	30	29	29	20	21	17	31	20	12	6	6	23	40	40	40	40	40	0	40	0
40	20	26	24	19	10	24	22	18	17	3	30	29	29	20	21	17	31	20	12	6	6	23	40	40	40	40	40	40	0	0
40	20	26	24	19	10	24	22	18	17	3	30	29	29	20	21	17	31	20	12	6	6	23	40	40	40	40	40	40	40	0
